ID;   LOT; AIL; TET;  HUM;  BRE
O01;156;245;31,6;18,5;20,5
O02;154;240;30,4;17,9;19,6
O03;153;240;31;18,4;20,6
O04;153;236;30,9;17,7;20,2
O05;155;243;31,5;18,6;20,3
O06;163;247;32;19;20,9
O07;157;238;30,9;18,4;20,2
O08;155;239;32,8;18,6;21,2
O09;164;248;32,7;19,1;21,1
O10;158;238;31;18,8;22
O11;158;240;31,3;18,6;22
O12;160;244;31,1;18,6;20,5
O13;161;246;32,3;19,3;21,8
O14;157;245;32;19,1;20
O15;157;235;31,5;18,1;19,8
O16;156;237;30,9;18;20,3
O17;158;244;31,4;18,5;21,6
O18;153;238;30,5;18,2;20,9
O19;155;236;30,3;18,5;20,1
O20;163;246;32,5;18,6;21,9
O21;159;236;31,5;18;21,5
O22;155;240;31,4;18;20,7
O23;156;240;31,5;18,2;20,6
O24;160;242;32,6;18,8;21,7
O25;152;232;30,3;17,2;19,8
O26;160;250;31,7;18,8;22,5
O27;155;237;31;18,5;20
O28;157;245;32,2;19,5;21,4
O29;165;245;33,1;19,8;22,7
O30;153;231;30,1;17,3;19,8
O31;162;239;30,3;18;23,1
O32;162;243;31,6;18,8;21,3
O33;159;245;31,8;18,5;21,7
O34;159;247;30,9;18,1;19
O35;155;243;30,9;18,5;21,3
O36;162;252;31,9;19,1;22,2
O37;152;230;30,4;17,3;18,6
O38;159;242;30,8;18,2;20,5
O39;155;238;31,2;17,9;19,3
O40;163;249;33,4;19,5;22,8
O41;163;242;31;18,1;20,7
O42;156;237;31,7;18,2;20,3
O43;159;238;31,5;18,4;20,3
O44;161;245;32,1;19,1;20,8
O45;155;235;30,7;17,7;19,6
O46;162;247;31,9;19,1;20,4
O47;153;237;30,6;18,6;20,4
O48;162;245;32,5;18,5;21,1
O49;164;248;32,3;18,8;20,9
