masse;taille;graines;masse_sec;espece;code
28,6;19,1;4;9,3;glycine blanche;1
20,6;14,8;3;7,7;glycine blanche;1
29,2;19,7;5;10,4;glycine blanche;1
32;21,1;7;11,5;glycine blanche;1
24,5;19,4;4;8,4;glycine blanche;1
29;19,5;4;10,3;glycine blanche;1
28,9;18,9;4;10,1;glycine blanche;1
18,2;14,6;2;6,3;glycine blanche;1
7,9;10,2;1;2,7;glycine blanche;1
15,5;14,6;2;5,5;glycine blanche;1
22,6;16,4;2;8,3;glycine blanche;1
35,5;21,1;6;13,1;glycine blanche;1
32,5;20,7;5;11,4;glycine blanche;1
28,7;18,7;5;10,5;glycine blanche;1
26;17,6;3;9,5;glycine blanche;1
13,5;13,2;2;4,7;glycine blanche;1
16,4;14;2;6;glycine blanche;1
12,5;12;3;4,3;glycine blanche;1
26,2;18,3;5;9,1;glycine blanche;1
22,6;17,8;2;8,2;glycine blanche;1
9,7;10,7;1;3,3;glycine blanche;1
21,8;16,5;3;7,2;glycine blanche;1
17,2;14,5;3;5,9;glycine blanche;1
25,2;17,5;4;9,1;glycine blanche;1
12;12,2;2;4,2;glycine blanche;1
6,3;8,6;1;2,2;glycine blanche;1
7;9,1;1;2,5;glycine blanche;1
20,4;17;4;7,1;glycine blanche;1
18;15,3;3;6,3;glycine blanche;1
21,1;15,8;4;7,3;glycine blanche;1
18,2;15,9;2;5,8;glycine blanche;1
15,2;12,2;3;5,2;glycine blanche;1
19,8;16,1;4;6,6;glycine blanche;1
21,4;16;3;7,5;glycine blanche;1
15;13,8;1;5,1;glycine blanche;1
16,4;14,4;2;5,3;glycine blanche;1
17,3;14,2;5;5,9;glycine blanche;1
16,4;15,7;2;6,1;glycine blanche;1
13,5;12,6;2;4,8;glycine blanche;1
13,6;12;3;4,5;glycine blanche;1
14,6;12,8;4;4,6;glycine blanche;1
16,9;15,3;3;5,9;glycine blanche;1
11,7;12,4;2;4,1;glycine blanche;1
14;14,5;2;5;glycine blanche;1
14,6;12,3;2;5,3;glycine blanche;1
10,3;11,8;2;3,8;glycine blanche;1
11,3;12,6;2;4;glycine blanche;1
10,7;11,3;2;3,9;glycine blanche;1
10,9;12,5;3;3,6;glycine blanche;1
